isWeekend,timeOfDay,occupancy,numOfGuests,customerVisitCount,customerAvgSpend,actionType,assignedTableCapacity,wastedSeats,actualDuration,targetQValue
False,17,0.45,4,8,21.36,accept,4,0,67,90.28
True,14,0.5,8,50,45.29,accept,8,0,80,421.56
False,21,0.33,4,1,29.49,reject,0,0,55,0.0
True,19,1.0,4,5,15.24,accept,4,0,90,-37.52
True,17,0.34,6,0,31.34,accept,6,0,96,156.49
True,18,0.91,2,0,45.78,accept,2,0,65,-7.57
True,14,0.37,2,1,22.86,accept,2,0,55,37.82
True,14,0.53,3,15,51.34,accept,4,1,72,162.28
True,18,0.95,5,1,27.64,reject,0,0,82,0.0
True,14,0.54,6,10,15.0,accept,6,0,77,95.81
False,12,0.7,5,8,33.94,accept,6,1,49,119.73
False,16,0.41,2,3,27.27,accept,2,0,46,56.32
False,19,0.91,4,8,15.0,accept,6,2,55,-78.54
False,17,0.23,2,1,44.76,accept,2,0,57,90.49
False,19,0.58,2,2,40.85,accept,2,0,58,96.85
True,13,0.77,4,5,21.5,accept,4,0,65,30.57
False,18,0.65,4,0,38.11,accept,4,0,78,82.75
True,13,0.81,2,0,23.11,accept,2,0,57,-10.91
True,18,0.71,2,10,46.13,accept,2,0,84,56.03
False,16,0.38,2,2,23.99,accept,2,0,67,50.35
True,11,0.4,2,15,48.01,accept,2,0,51,83.13
False,12,0.89,1,8,33.71,accept,2,1,37,-26.78
True,14,0.55,7,1,26.52,accept,8,1,85,203.03
True,12,0.86,4,2,49.99,accept,4,0,55,120.88
False,17,0.11,2,2,27.13,reject,0,0,50,0.0
False,13,0.85,4,1,36.01,accept,4,0,63,69.05
True,17,0.27,1,0,37.83,accept,2,1,74,22.05
False,18,0.92,6,0,42.42,accept,6,0,90,168.72
True,20,0.35,5,0,33.23,accept,6,1,83,122.59
False,13,0.75,2,2,19.37,accept,2,0,31,-9.39
True,14,0.33,2,1,15.0,accept,2,0,50,30.19
True,21,0.34,2,0,25.9,accept,2,0,81,43.32
True,16,0.32,6,4,21.43,accept,8,2,84,115.25
True,12,0.76,2,15,46.63,accept,2,0,69,55.89
True,10,0.4,1,1,30.8,reject,0,0,62,0.0
False,11,0.25,4,0,32.06,accept,4,0,45,103.48
True,13,0.88,4,5,30.77,reject,0,0,74,0.0
True,18,0.96,2,4,29.4,reject,0,0,70,0.0
True,12,0.84,7,2,40.91,accept,8,1,80,238.55
True,11,0.19,1,4,35.43,accept,8,7,45,-68.51
False,10,0.29,4,1,30.33,accept,4,0,55,130.37
False,13,0.66,4,10,33.72,reject,0,0,44,0.0
True,11,0.4,2,0,35.75,accept,2,0,56,61.97
False,20,0.39,6,1,18.95,accept,6,0,75,107.41
True,12,0.75,2,0,38.79,accept,2,0,58,36.57
False,19,0.64,4,5,29.48,accept,4,0,72,74.23
True,13,0.99,8,1,47.55,reject,0,0,99,0.0
False,12,0.65,7,10,45.03,accept,8,1,65,307.75
True,16,0.42,4,1,43.18,accept,4,0,87,171.97
False,19,0.79,1,4,35.32,accept,4,3,62,-64.37
False,13,0.71,4,0,34.55,reject,0,0,50,0.0
False,18,0.72,2,0,37.86,accept,2,0,46,32.66
True,12,0.76,8,2,40.32,reject,0,0,88,0.0
False,18,0.82,2,8,27.41,accept,2,0,55,4.94
True,18,1.0,4,0,20.38,reject,0,0,77,0.0
True,20,0.52,8,0,40.21,accept,8,0,93,378.87
False,10,0.36,6,4,27.9,accept,6,0,78,194.6
True,19,0.95,5,0,34.17,accept,6,1,92,63.68
True,19,0.84,2,8,19.26,accept,2,0,77,-19.1
False,14,0.27,2,5,62.7,accept,2,0,36,134.4
True,17,0.37,4,5,26.78,accept,6,2,83,60.62
False,16,0.26,3,5,38.5,accept,4,1,59,81.7
True,21,0.5,3,4,36.38,accept,4,1,84,114.49
True,20,0.49,4,8,41.58,accept,4,0,83,157.62
False,14,0.34,4,0,15.0,accept,4,0,65,60.3
True,21,0.53,5,5,36.35,accept,6,1,96,158.14
False,17,0.24,5,0,35.8,accept,6,1,60,143.83
True,19,0.76,2,5,34.79,accept,2,0,68,22.59
True,9,0.49,3,10,52.75,accept,4,1,70,119.52
True,12,0.92,4,1,32.08,reject,0,0,66,0.0
True,14,0.37,2,0,24.54,accept,2,0,61,54.0
False,13,0.79,5,15,42.23,accept,6,1,63,170.17
True,19,0.79,2,0,20.46,reject,0,0,79,0.0
False,9,0.28,4,0,25.77,accept,4,0,75,91.98
True,13,1.0,5,2,46.17,accept,6,1,74,118.67
True,18,0.89,1,0,26.11,reject,0,0,63,0.0
False,10,0.49,2,0,32.29,reject,0,0,69,0.0
True,12,0.94,5,10,25.75,accept,6,1,73,27.94
False,16,0.51,4,1,36.45,accept,4,0,65,157.57
True,13,0.95,2,0,29.36,accept,2,0,65,-36.26
True,18,0.94,4,1,24.11,reject,0,0,87,0.0
True,16,0.43,4,2,26.03,accept,6,2,91,84.77
True,9,0.43,6,0,22.14,accept,6,0,86,109.79
False,18,0.61,2,5,54.33,accept,4,2,57,41.21
False,13,0.85,8,0,25.96,reject,0,0,60,0.0
False,18,0.6,4,10,26.55,accept,4,0,62,63.23
False,10,0.5,2,1,31.09,accept,4,2,66,32.12
False,12,0.81,3,2,35.35,accept,4,1,37,23.43
False,11,0.3,6,1,23.83,accept,8,2,65,84.8
True,12,1.0,5,0,15.0,accept,8,3,76,-58.46
False,17,0.3,2,8,31.95,accept,2,0,60,71.6
False,12,0.79,2,0,23.77,accept,2,0,48,6.43
False,18,0.7,2,0,51.03,accept,6,4,50,-14.28
True,10,0.37,2,20,61.85,accept,2,0,60,118.16
False,12,0.76,8,0,16.06,accept,8,0,78,55.52
True,11,0.65,2,10,27.15,accept,2,0,56,47.62
False,9,0.27,2,0,20.96,accept,2,0,51,35.64
False,12,0.59,4,2,18.62,accept,4,0,42,75.18
True,20,0.52,2,1,45.59,accept,2,0,68,76.13
False,13,0.79,3,0,23.02,accept,4,1,50,-5.97
